"address","authors","authorsori","booktitle","date","editor","institution","journal","month","note","pages","publisher","tech","title","type","volume","year"
"?","aha d w kibler d and albert m k","aha d w kibler d and albert m k","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6 1","1991"
"?","aha d w kibler d and albert m k","aha d w kibler d and albert m k","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","aha d w kibler d and albert m k","aha d w kibler d and albert m k","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","aha d w kibler d and albert m k","aha d w kibler d and albert m k","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","aha d w kibler d and albert m k","aha d w kibler d and albert m k","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","aha d w kibler d and albert m k","aha d w kibler d and albert m k","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","aha d w kibler d and albert m k","aha d w kibler d and albert m k","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6 1","1991"
"?","aha d w kibler d and albert m k","aha d w kibler d and albert m k","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6 1","1991"
"?","aha d w kibler d and albert m k","aha d w kibler d and albert m k","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6 1","1991"
"?","aha d w kibler d and albert m k","aha d w kibler d and albert m k","?","?","?","?","mac hine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","aha d d kibler and m albert","aha d d kibler and m albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","aha d kibler d and albert m","aha d kibler d and albert m","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","aha d kibler d albert m","aha d kibler d albert m","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6 1","1991"
"?","aha d kibler d albert m","aha d kibler d albert m","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","aha d kibler d albert m","aha d kibler d albert m","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","aha d kibler d albert m","aha d kibler d albert m","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","aha d kibler d and albert m","aha d kibler d and albert m","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","aha d kibler d and albert m","aha d kibler d and albert m","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","aha d kibler d and albert m","aha d kibler d and albert m","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","aha d kibler d and albert m","aha d kibler d and albert m","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6 1","1991"
"?","aha d kibler d and albert m","aha d kibler d and albert m","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","7","1991"
"?","aha d kibler d and albert m","aha d kibler d and albert m","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","aha d kibler d and albert m","aha d kibler d and albert m","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","aha d w kibler d albert m k","aha d w kibler d albert m k","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","aha d w kibler d albert m k","aha d w kibler d albert m k","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","aha d w kibler d and albert m k","aha d w kibler d and albert m k","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","d w aha d kibler m k albert","d w aha d kibler m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","1991 instance based learning algorithms","?","6 1","?"
"?","d w aha d kibler m k albert","d w aha d kibler m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6 1","1991"
"?","david w aha dennis kibler and m k albert","david w aha dennis kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","aha d kibler d and albert m","aha d kibler d and albert m","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","aha d w kibler d and albert m k","aha d w kibler d and albert m k","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","aha d w kibler d and albert m k","aha d w kibler d and albert m k","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","d aha d kibler and m albert","d aha d kibler and m albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","d aha d kibler and m albert","d aha d kibler and m albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6 1","1991"
"?","d aha d kibler and m albert","d aha d kibler and m albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6 1","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6 1","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6 1","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instancebased learning algorithms","?","6 1","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","january","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","january","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","david w aha dennis kibler and marc k albert","david w aha dennis kibler and marc k albert","?","?","?","?","machine learning","january","?","37 66","?","?","instance based learning algorithms","?","6 1","1991"
"?","david w aha dennis kibler and marc k albert","david w aha dennis kibler and marc k albert","?","?","?","?","machine learning","january","?","37 66","?","?","instance based learning algorithms","?","6 1","1991"
"?","david w aha dennis kibler and marc k albert","david w aha dennis kibler and marc k albert","?","?","?","?","machine learning","january","?","37 66","?","?","instance based learning algorithms","?","6 1","1991"
"?","d w aha d kibler and m albert","d w aha d kibler and m albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6 1","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6 1","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","d aha and d kibler","d aha and d kibler","?","?","?","?","machine learning","?","?","794 799","?","?","noise tolerant instance based learning algorithms","?","8","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6 1","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6 1","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6 1","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6 1","1991"
"?","david w aha dennis kibler and marc k albert","david w aha dennis kibler and marc k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6 1","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","d aha d kibler and m albert","d aha d kibler and m albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","d w aha d kibler and j k albert","d w aha d kibler and j k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6 1","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6 1","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6 1","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6 1","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6 1","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6 1","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6 1","1991"
"?","david w aha dennis kibler and marc k albert","david w aha dennis kibler and marc k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","david w aha dennis kibler and marc k albert","david w aha dennis kibler and marc k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6 1","1991"
"?","aha d kibler d and albert m","aha d kibler d and albert m","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","aha d kibler d and albert m","aha d kibler d and albert m","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6 1","1991"
"?","aha d kibler d and albert m","aha d kibler d and albert m","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6 1","1991"
"?","aha d kibler d and albert m","aha d kibler d and albert m","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6 1","1991"
"?","d aha d kibler and m albert","d aha d kibler and m albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","d aha d kibler and m albert","d aha d kibler and m albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","d w aha d kibler and m k al bert","d w aha d kibler and m k al bert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","d w aha d kibler and m k al bert","d w aha d kibler and m k al bert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","david w aha dennis kibler and marc k albert","david w aha dennis kibler and marc k albert","?","?","?","?","machine learning","?","?","?","?","?","instance based learning algorithms","?","6 1","1991"
"?","david w aha dennis kibler and mark k albert","david w aha dennis kibler and mark k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","david w aha dennis kibler and mark k albert","david w aha dennis kibler and mark k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","d w aha d kibler and m k albert","d w aha d kibler and m k albert","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","?"
"?","aha d kibler d albert m","aha d kibler d albert m","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning algorithms","?","6","1991"
"?","d aha d kibler and m albert","d aha d kibler and m albert","?","?","?","?","machine learning","?","?","?","?","?","instance based learning algorithms","?","6 3766","1991"
"?","kibler d and conery j","kibler d and conery j","?","?","?","irvine computational intelligence project information and computer science department university of california irvine","?","?","?","?","?","?","parallelism in ai programs","technical report","?","?"
"karlsruhe germany","john s conery and dennis f kibler","john s conery and dennis f kibler","in proceedings of international joint conference on artificial intelligence","?","?","?","?","?","?","pages 539 543","william kaufmann los altos","?","and parallelism in logic programs","?","?","1983"
"?","j s conery and d f kibler","j s conery and d f kibler","?","?","?","?","new generation computing","?","?","43 70","?","?","and parallelism and nondeterminism in logic programs","?","3","1985"
"?","j s conery and d f kibler","j s conery and d f kibler","in proceedings of international joint conference on artificial intelligence","?","?","?","?","?","?","pages 53 56","?","?","parallelism in ai programs","?","?","1985"
"?","j s conery and d f kibler","j s conery and d f kibler","?","?","?","?","new generation computing","?","?","43 70","?","?","and parallelism and nondeterminism in logic programs","?","3","1985"
"?","aha dw kibler d albert mk","aha dw kibler d albert mk","?","?","?","?","machine learning","?","?","37 66","?","?","instance based learning methods","?","6","1991"
"?","d kibler and p morris","d kibler and p morris","in proceedings of the seventh international joint conference on artificial intelligence","?","?","?","?","?","?","pages 345 347","?","?","don t be stupid","?","?","1981"
"?","dennis kibler","dennis kibler","?","?","?","department of computer science university of california at irvine","?","?","?","?","?","?","natural generation of heuristics by transforming the problem representation","technical report tr 85 20","?","1985"
"?","kibler d","kibler d","?","?","?","university of california irvine ca","?","?","?","?","?","?","natural generation of heuristics by transforming the the problem representation","technical report tr 85 20","?","1985"
"?","b porter and d kibler","b porter and d kibler","?","?","?","?","machine learning","?","?","249 286","?","?","experimental goal regression a method for learning problem solving heuristics","?","1","1986"
"irvine ca","kibler d and aha d","kibler d and aha d","in proc of the 4 th international workshop on machine learning","?","?","?","?","?","?","pages 24 30","?","?","learning representative exemplars of concepts an initial case study","?","?","1987"
"irvine ca","dennis kibler and david w aha","dennis kibler and david w aha","in proceedings of the 4 th international workshop on machine learning","?","?","?","?","?","?","?","?","?","learning representative exemplars of concepts an initial case study","?","?","1987"
"irvine ca","dennis kibler and david w aha","dennis kibler and david w aha","in proceedings of the 4 th international workshop on machine learning","?","?","?","?","?","?","?","?","?","learning representative exemplars of concepts an initial case study","?","?","1987"
"glasgow uk","kibler d and langley p","kibler d and langley p","?","?","editor in sleeman d","?","?","october","?","pages 81 92","turing institute pitman","?","machine learning as an experimental science","?","?","1988"
"?","kibler d and langley p","kibler d and langley p","?","?","?","?","machine learning","?","?","5 8","?","?","machine learning as an experimental science","?","3 1","1988"
"?","kibler d langley p","kibler d langley p","?","?","?","?","machine learning","?","?","5 8","?","?","machine learning as an experimental science","?","3 1","1988"
"glasgow scotland","kibler d and langley p","kibler d and langley p","in proceedings of the third european working session on learning","?","?","?","?","?","?","?","pitman","?","machine learning as an experimental science","?","?","1988"
"?","kibler d and aha d w","kibler d and aha d w","?","?","?","?","computational intelligence","?","?","51 57","?","?","instance based prediction of real valued attributes","?","5 2","1989"
"?","kibler d and aha d w","kibler d and aha d w","?","?","?","?","computational intelligence","?","?","51 57","?","?","instance based prediction of real valued attributes","?","5 2","1989"
"?","kibler d aha d w and albert m","kibler d aha d w and albert m","?","?","?","?","computational intelligence","?","?","51 57","?","?","instance based prediction of real valued attributes","?","5","1989"
"?","kibler d aha d w albert m k","kibler d aha d w albert m k","?","?","?","?","computational intelligence","?","?","51 57","?","?","instance based prediction of real valued attributes","?","5","1989"
"?","kibler d aha d w albert m k","kibler d aha d w albert m k","?","?","?","?","computational intelligence","?","?","51 57","?","?","instance based prediction of real valued attributes","?","5","1989"
"?","d kibler d w aha and m k albert","d kibler d w aha and m k albert","?","?","?","?","computational intelligence","?","?","51 57","?","?","instance based prediction of real valued attributes","?","5","1989"
"?","d kibler d w aha and m k albert","d kibler d w aha and m k albert","?","?","?","?","computational intelligence","?","?","51 57","?","?","instance based prediction of real valued attributes","?","5","1989"
"?","d kibler and d w aha","d kibler and d w aha","?","?","?","?","computational intelligence","?","?","51 57","?","?","instance based prediction of real valued attributes","?","5 2","1989"
"?","d kibler and d w aha","d kibler and d w aha","?","?","?","?","computational intelligence","?","?","51 57","?","?","instance based prediction of real valued attributes","?","5 2","1989"
"?","pazzani m kibler d","pazzani m kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9 1","?"
"?","pazzani m and kibler d","pazzani m and kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9","1992"
"?","michael pazzani and dennis kibler","michael pazzani and dennis kibler","?","?","?","?","machine learning","?","?","57 94","?","?","the role of prior knowledge in inductive learning","?","9","1992"
"?","michael pazzani and dennis kibler","michael pazzani and dennis kibler","?","?","?","?","machine learning","?","?","57 94","?","?","the role of prior knowledge in inductive learning","?","9","1992"
"?","michael pazzani and dennis kibler","michael pazzani and dennis kibler","?","?","?","?","machine learning","?","?","57 94","?","?","the role of prior knowledge in inductive learning","?","9","1992"
"?","micheal pazzani and dennis kibler","micheal pazzani and dennis kibler","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9","1992"
"amherst ma","dennis kibler 1993","dennis kibler 1993","in proceedings of kcsl93 3rd international workshop on knowledge compilation and speedup learning in icml93","?","?","?","?","?","?","?","?","?","some real world domains for learning problem solvers","?","?","?"
"amherst ma","dennis kibler 1993","dennis kibler 1993","in proceedings of kcsl93 3rd international workshop on knowledge compilation and speedup learning in icml93","?","?","?","?","?","?","?","?","?","some real world domains for learning problem solvers","?","?","?"
"amherst ma","dennis kibler 1993","dennis kibler 1993","in proceedings of kcsl93 3rd international workshop on knowledge compilation and speedup learning in icml93","?","?","?","?","?","?","?","?","?","some real world domains for learning problem solvers","?","?","?"
"?","pazzani m and kibler d","pazzani m and kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9 1","1991"
"?","pazzani m and kibler d","pazzani m and kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9 1","1991"
"?","pazzani m and kibler d","pazzani m and kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9 1","1991"
"?","pazzani m and kibler d","pazzani m and kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9 1","1991"
"?","pazzani m kibler d","pazzani m kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9","1992"
"?","pazzani m kibler d","pazzani m kibler d","?","?","?","?","in machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9","1992"
"?","ourston d mooney r","ourston d mooney r","?","?","?","?","artificial intelligence","?","?","273 309","?","?","theory refinement combining analytical and empirical methods","?","66 2","1994"
"?","ourston d mooney r","ourston d mooney r","?","?","?","?","artificial intelligence","?","?","273 309","?","?","theory refinement combining analytical and empirical methods","?","66 2","1994"
"?","ourston d mooney r","ourston d mooney r","?","?","?","?","artificial intelligence","?","?","273 309","?","?","theory refinement combining analytical and empirical methods","?","66 2","1994"
"?","m pazzani and d kibler","m pazzani and d kibler","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of background knowledge in inductive learning","?","9","1992"
"?","pazzani m and kibler d","pazzani m and kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9","1992"
"?","m pazzani d","m pazzani d","?","?","?","?","?","?","?","57 94","?","?","kibler the utility of knowledge in inductive learning machine learning","?","9 1","1992"
"?","m pazzani and d kibler","m pazzani and d kibler","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of background knowledge in inductive learning","?","9","1992"
"?","pazzani m kibler d","pazzani m kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9","1992"
"?","pazzani m kibler d","pazzani m kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9","1992"
"?","pazzani m kibler d","pazzani m kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9","1992"
"?","pazzani m kibler d","pazzani m kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9","1992"
"?","pazzani m kibler d","pazzani m kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9","1992"
"?","pazzani m kibler d","pazzani m kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9","1992"
"?","pazzani m kibler d","pazzani m kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9","1992"
"?","pazzani m kibler d","pazzani m kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9","1992"
"?","pazzani m kibler d","pazzani m kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9 1","1992"
"?","pazzani m kibler d","pazzani m kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9 1","1992"
"?","pazzani m kibler d","pazzani m kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9 1","1992"
"?","pazzani m kibler d","pazzani m kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9 1","1992"
"?","pazzani m j and kibler d","pazzani m j and kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9","1992"
"?","pazzani m and kibler d","pazzani m and kibler d","?","?","?","?","machine learning journal","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9 1","1992"
"?","pazzani m and kibler d","pazzani m and kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9","1992"
"?","pazzani m and kibler d","pazzani m and kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9","1992"
"?","pazzani m and kibler d","pazzani m and kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9 1","1992"
"?","pazzani m and kibler d","pazzani m and kibler d","?","?","?","?","machine learning","?","?","?","?","?","the utility of knowledge in inductive learning","?","9 1","1992"
"?","pazzani m and kibler d","pazzani m and kibler d","?","?","?","?","machine learning","?","?","?","?","?","the utility of knowledge in inductive learning","?","9 1","1992"
"?","pazzani m kibler d","pazzani m kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9 1","1992"
"?","pazzani m kibler d","pazzani m kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9 1","1992"
"?","pazzani m and kibler d","pazzani m and kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of background knowledge in inductive learning","?","9","1992"
"?","pazzani m and kibler d","pazzani m and kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of background knowledge in inductive learning","?","9","1992"
"?","pazzani m and kibler d","pazzani m and kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of background knowledge in inductive learning","?","9","1992"
"?","pazzani m and kibler d","pazzani m and kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of background knowledge in inductive learning","?","9","1992"
"?","pazzani m and kibler d","pazzani m and kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of background knowledge in inductive learning","?","9","1992"
"?","pazzani m and kibler d","pazzani m and kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of background knowledge in inductive learning","?","9","1992"
"?","pazzani m and kibler d","pazzani m and kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of background knowledge in inductive learning","?","9","1992"
"?","pazzani m and kibler d","pazzani m and kibler d","machine learning 9","?","?","?","?","?","?","57 94","?","?","the utility of background knowledge in inductive learning","?","?","1992"
"?","pazzani m and kibler d","pazzani m and kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of background knowledge in inductive learning","?","9","1992"
"?","pazzani m and kibler d","pazzani m and kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of background knowledge in inductive learning","?","9","1992"
"?","pazzani m and kibler d","pazzani m and kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9","1992"
"?","pazzani m and kibler d","pazzani m and kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9","1992"
"?","pazzani m and kibler d","pazzani m and kibler d","?","?","?","?","machine learning","?","?","54 97","?","?","the utility of prior knowledge in inductive learning","?","9","1992"
"?","m pazzani and d kibler","m pazzani and d kibler","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of background knowledge in inductive learning","?","9","1992"
"?","m pazzani and d kibler","m pazzani and d kibler","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of background knowledge in inductive learning","?","9","1992"
"?","m pazzani and d kibler","m pazzani and d kibler","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9","1992"
"?","m pazzani and d kibler","m pazzani and d kibler","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9 1","1992"
"?","m pazzani and d kibler","m pazzani and d kibler","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9 1","1992"
"?","micheal j pazzani and dennis kibler","micheal j pazzani and dennis kibler","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9","1992"
